Nombre	Provincia	Cuenta Individual	Latitud	Longitud	day	month	year
Ara macao	Alajuela	2	10.686364	-84.20616	22	12	2023
Ara macao	Alajuela	2	10.6767	-84.2238	27	4	2023
Ara macao	Alajuela	2	10.699585	-84.190994	19	12	2023
Ara macao	Alajuela	5	10.621128	-84.284004	19	12	2023
Ara macao	Alajuela	1	10.387527	-84.59825	20	12	2023
Ara macao	Alajuela	6	10.456923	-84.54912	23	12	2023
Ara macao	Alajuela	10	10.68515	-84.18112	10	12	2023
Ara macao	Alajuela	1	9.900908	-84.603264	11	3	2023
Ara macao	Alajuela	1	10.387527	-84.59825	20	12	2023
Ara macao	Alajuela	2	10.6767	-84.2238	19	12	2023
Ara macao	Alajuela	2	10.68515	-84.18112	30	4	2023
Ara macao	Alajuela	1	10.421531	-84.753815	10	6	2023
Ara macao	Alajuela	4	9.900908	-84.603264	27	11	2023
Ara macao	Alajuela	8	9.948163	-84.565605	28	12	2023
Ara macao	Alajuela	2	9.867198	-84.64803	9	8	2023
Ara macao	Alajuela	2	9.923898	-84.39324	14	12	2023
Ara macao	Alajuela	2	9.923898	-84.39324	14	12	2023
Ara macao	Alajuela	4	9.900908	-84.603264	22	11	2023
Ara macao	Alajuela	10	10.665856	-84.240715	22	11	2023
Ara macao	Alajuela	2	10.686364	-84.20616	13	5	2023
Ara macao	Alajuela	2	10.686624	-84.18053	26	11	2023
Ara macao	Alajuela	2	10.711517	-84.206795	18	5	2023
Ara macao	Alajuela	2	10.396079	-84.56112	3	10	2023
Ara macao	Alajuela	6	10.686364	-84.20616	9	12	2023
Ara macao	Alajuela	6	10.711517	-84.206795	23	4	2023
Ara macao	Alajuela	18	10.686364	-84.20616	16	9	2023
Ara macao	Alajuela	2	10.686364	-84.20616	1	7	2023
Ara macao	Alajuela	4	9.907636	-84.53458	30	11	2023
Ara macao	Alajuela	4	9.913765	-84.56686	7	12	2023
Ara macao	Alajuela	2	9.89105	-84.598495	15	4	2023
Ara macao	Alajuela	1	9.867198	-84.64803	11	2	2023
Ara macao	Alajuela	2	9.913765	-84.56686	2	3	2023
Ara macao	Alajuela	2	10.6767	-84.2238	1	5	2023
Ara macao	Alajuela	12	10.384275	-84.179504	3	5	2023
Ara macao	Alajuela	3	10.35355	-84.51406	23	11	2023
Ara macao	Alajuela	2	9.923074	-84.39332	4	9	2023
Ara macao	Alajuela	2	9.923074	-84.39332	4	9	2023
Ara macao	Alajuela	2	10.356112	-84.51478	12	5	2023
Ara macao	Alajuela	3	10.35355	-84.51406	19	12	2023
Ara macao	Alajuela	2	9.923898	-84.39324	24	5	2023
Ara macao	Alajuela	4	9.913765	-84.56686	31	10	2023
Ara macao	Alajuela	2	10.722729	-84.52058	16	7	2023
Ara macao	Alajuela	2	10.685918	-84.19221	1	8	2023
Ara macao	Alajuela	12	10.682342	-84.20523	23	11	2023
Ara macao	Alajuela	1	10.6767	-84.2238	26	10	2023
Ara macao	Alajuela	1	10.711517	-84.206795	30	7	2023
Ara macao	Alajuela	2	10.686364	-84.20616	2	5	2023
Ara macao	Alajuela	2	10.686364	-84.20616	14	4	2023
Ara macao	Alajuela	2	10.6767	-84.2238	24	4	2023
Ara macao	Alajuela	2	10.68515	-84.18112	18	1	2023
Ara macao	Alajuela	1	10.42113	-84.60533	30	4	2023
Ara macao	Alajuela	1	10.503559	-84.69509	17	2	2012
Ara macao	Alajuela	2	9.867198	-84.64803	6	4	2023
Ara macao	Alajuela	8	10.78593	-84.19184	4	11	2023
Ara macao	Alajuela	2	10.686364	-84.20616	15	5	2023
Ara macao	Alajuela	6	9.989473	-84.34592	12	11	2023
Ara macao	Alajuela	2	10.676374	-84.23306	18	5	2023
Ara macao	Alajuela	2	9.927661	-84.38589	14	10	2023
Ara macao	Alajuela	4	9.932425	-84.38173	2	9	2023
Ara macao	Alajuela	2	10.686624	-84.18053	26	11	2023
Ara macao	Alajuela	2	10.427733	-84.369385	1	5	2023
Ara macao	Alajuela	1	10.399955	-84.47321	6	4	2023
Ara macao	Alajuela	1	10.438602	-84.37537	16	4	2023
Ara macao	Alajuela	4	9.923074	-84.39332	16	10	2023
Ara macao	Alajuela	2	10.68515	-84.18112	21	5	2023
